date,close
2026-07-28,1902000
2026-07-29,1935000
2026-07-30,1924000
2026-08-01,1937000
2026-08-02,1910000
2026-08-03,1928800
2026-08-05,1880000
2026-08-06,1880200
2026-08-08,1859000
2026-08-09,1854000
2026-08-10,1856000
2026-08-11,1878000
2026-08-15,1870050
2026-08-16,1866800
2026-08-17,1865000
2026-08-18,1870100
2026-08-19,1886000
2026-08-20,1894000
2026-08-22,1927000
2026-08-23,1999000
2026-08-24,2021950
2026-08-25,2005000
2026-08-26,2005000
2026-08-27,2006000
2026-08-29,2060100
2026-08-31,2093000
2026-09-01,2140000
2026-09-02,2199000
2026-09-03,2210600
2026-09-05,2272050
